names,reviewtitles,ratings,reviews
krishna ram,Real pain in the neck!,1,"Strongly advice people not to buy this product. Used it for about 2 hours and ended with severe neck pain. Amazon refuses to provide either a refund or exchange the product. Apparently, the seller will replace only with the same product!"
nagaratna i.,Good,3,It has sound of mmring so it is very disturbing
Santosh kumari,Not much good,2,It's good but headphones are very heavy and sound cancellation is not soo good .
sarath,Value for money,5,Value for money
Divya,Very Good,5,"They're very good,the voice reverberation problem is not there and are of very good quality"
VS,"Too bulky, heavy and warm",2,"They feel overly heavy, and warm around the ears"
Harsh Maheshwari,"Headphones are too big, not recommended for office use.",3,"Headphones are too big, not recommended for office use."
drkkpatthak1996,"Boat Recording headphone Good product ,good value for money.",5,"The media could not be loaded.
                



 Good product ,nice value for money."
Indrajit Pal,Good,5,Good
Amazon Customer,Best 7.1 budget killer,5,Best 7.1 surround sound gaming headphone budget killee
Kamal Chandra Bose,Excellent.Must buy.,5,Op for gaming.Astonishing sound quality.When i first used it I was litterly amazed
vijaychandren,Great product,5,This is the best product
Kashan,THIS ITEM IS GOOD 👍👍👍👍👍👍👍,3,I AM USE FOR PUBG GAME
Gajapati Bag,Awesome product.. My daughter love it!,5,Nice sound quality. Just go for it.Thanks Amazon for quick and free delivery with Prime!
Rishabh sahu,"Drivers are very big, and add some interesting light formation",5,Drivers are very big
siddharth,Noise cancelling and able to attend zoom meetings,5,product is very nice and sound quality very good.
Josh G.,This is not made to play with smartphone,3,It works very bad in smartphone
YuvRaj Gavali,Best for bgmi,5,Best cool an quality lroduct
devendra singh,Happy to use it,5,Good productThis can be buyed if needed for USB port
Amazon Customer,Excellent,5,We can use for both music and meeting in work from home time. Size is bit bigger.
SUJAl suresh bagde,Best gaming headphones 💛,5,Best gaming headphones 💛
rishita,Heavy,2,The product is good but caused headache. It is very heavy.
Ashpak,Nice,5,must buy
Amazon Customer,Nice,5,I like it
Alister Dsa,100% value for money! Build quality outstanding!!,5,100% value for money! Build quality outstanding!!
garvin c.,not the best noise cancellation. but very great audio quality.,5,great for the price. excellent for gaming. not the best for creating a bubble.
Manoj Sahani,Very very nice,5,Very very nice headset for doing online classes i bought it for my son and he really loves it
kiran,Joddd level sound quality,5,Best mic ever
Somnath Roy,Mic,5,For gaming it was Awesome and others mind blowing. In one sentence it is out standing must buy it.
Mayur Thakre,classic headphones,5,"one of the best headphones in the market for all music lover , the mic is so good"
Karthik,Superb audio quality,5,Superb audio quality with noise cancellation and more over theater effect sound for movie
Saurabh,Nothing,5,Improve noice cancellation.. But anyways the product is best and I also recommend it..
Anoy Saha,Best Headphone,5,Best Headphone under this prise range....... it's noise cancellation is superb.......best for online classes and for gaming also
Harsh Trivedi,Value for money,5,Sound is good in this price range.
Mobin ali,sound quality is very good....,5,awesome....
Ss,Average but very bulky,2,Average headphone. Very bulky so not feasible for long hours. Look wise amazing.Because of the bulkyness I am not able to use but unfortunately didn't notice that most amazon products are these days non returnable. So stuck with the headset 😞
Reebhu Goswami,Poor Bass,3,Bass quality is poor.
aswajith,Beast mode from boat,5,"Super design ,and build quality.If you are looking for budget gaming headphone with good spec ,this one is beast🔥"
Bhavneet singh,Built quality is not that much good,2,I thought that it was a good headphones and it was looking nice in the picture and the built quality when I used it so what I find that the ear cushions are not comfortable.
Dheeraj,Great budget 🎧,2,"Good for gaming,as well  as music though not sure about the built quality...too much plastic"
Harish,Batari low,5,West
Siddharth Kumar,Nice,5,Nice product
BH SEETA RAMA SARMA,Good,5,Exlent
Retro gamer,Immortal gaming experience,5,I reccomend buying it for sure if you want to having a good gaming experience🥰🥰🥰
SANJEEV MAURYA,Gaming sound quality best,5,Best gameplay on this sounds
Joseph,Worth for money,5,Iam using 1 year and it's cool for gaming
Pawan,Below average sound and build quality,1,Sound quality is below averageRgb not in sync and not controllableCushion will start wearing off after 5-6 months
UTKARSHKashinath Takmoge,Value for money.,5,Best over-the-ear headphones under 1500.
ANUPRERNA SHARMA,"The most pathetic experience ever., Doesn't work",1,"The most pathetic experience ever. I purchased several products from Appario Retail Private Ltd and all of them are working fine ( at least till now ) however this Headset just didn't work.I installed Boat software as well, tried in 3 different laptop ( including asus ROG ) however can barely hear sound from these headsets.This experience ruin me to purchase boAt products ever again. Can't even get refund of this, only replacement is coming and i hope that replacement will do a better job than this one."
Deepa S.Natekar,BEST GAMING HEADPHONES,5,DEFINITELY A MUST BUY PRODUCT... sound quality is great and mic also works perfectly...Worth it...
Amazon Customer,Mic stopped working after 1 and half month,1,Was great until the mic stopped working
abhishek,Excellent quality,5,"Sound Quality Good, Due to USB, there is some problem in mobile connection."
Cinikutty Emmanuel,Very good product,5,Very good product. Awesome quality. Mic is not good at noise cancelling.
Dinamani Mutum,Sound quality is good but it's extremely uncomfortable to wear.,2,"The sound quality is good, but it's extremely uncomfortable to wear. It's so painful to wear. It gives headache and neck pain. It's painful behind the ears also."
Abir sarkar,Value for money!,5,"For me big deal, thanks Amazon India!Rocking product.."
Prashast Rawat,Way to good,5,Nice product
Sudarshan Deshmukh,Good headphone,5,Audio is very clear and price is also ok.Decent buy.
Arpan Das,Nice,5,nice
Kamal kumar chaturvedi,Head phone pin,1,In this product this head phone  lead pin is not for mobile it is usb pin so please look at my problem
Piyush,Good option in this budget,5,Sound quality and mic is really good
Himanshu rana,Good product,5,According to price it is nice.
Dimple S.,Best,5,Very good
Subodh,I want to return the product...inobile... This product is having  pen drive type pin.not fit for me,5,I want to return the product
Dinesh M.,Decent GOod,5,It is a decent product for a price
APURWA KHARWAR,Connection,1,Not a good product at all. Whenever I connect it to lappy it gets automatically disconnected
rohit cr,Super,5,Super
Kanav Sharma,Good quality,5,Nice headphonesQuality is Soo good.
Rajesh prasad gond,Good quality,5,Pasand
Priti Bachewar,5 Star worth !!,5,It’s a very nice product .
Ajaynathks,Outstanding! 7.1 Audio Work Perfectly,5,I love this headphone! no words
Gaurav Sharma,Good in this budget.,5,Good in this budget.
Sachin V S,No noise cancellation,2,"No noise cancellation, small sound at background can be heard by others"
Runumi Sharma,"Awesome, really awesome",5,"The media could not be loaded.
                



 I liked this product. Nice audio and noise cancellation."
Rajeev Kumar,OPPPPP :O,5,Mast JOD product :D
Hiren Nagariya,Only for gaming & for discord users,5,Big in size ☺️☺️
Atif Khan,That not module hedfone,5,That not mobile
Amazon Customer,Incridible,5,Perfect for gaming
ayub s.,Good quality materials are used . Good sound and base .good quality of mike,5,
Pravin Jadhav,"This was good , but need to be improved.",2,"Its good , but in between some voice was coming like rubing two sign pappers."
Ashis dash,Its Awesome 👌🏻,5,Feel Expensive
Nilay B.,Value for money,5,
Harsh Monga,Good,5,overall good product
Amazon Customer,Good,5,Good quality
Amazon Customer,Tha mic,5,
Abhishek Rathore,Stopped working in less than a month,1,Quality is disappointing. With little bit of office calls stopped working in less than a month. No audio. Noise control was never there.
Priyanshu Bharadwa,Best!,5,Best!
Ameen Khan,It's very good product and also works in Mobile by otg cable or otg adapter,5,Best
Priyanshu kumar,Gaming,5,Best
Mohammed Imran sheik,Ear itching,1,Quality wise good but couldn't wear it for more than a hour!!
Akshay Jadhav,THE PRODUCT STOPPED WORKING WITHIN A MONTH,1,
Shreyansh,Very heavy,2,Very heavy headphones and noise cancelling is not good
XPG,VOICE EFFECT OR 7.1 😘😘😘,5,The media could not be loaded.
Rajitha,Best for money,2,
Utsav Saha,Waste of money.,1,"Absolute waste of money.Does not have mic/volume control button.Sound quality very poor.Worst , they do not have a return policy.Purely trapping customers with this horrible product."
Shivansh Agarwalla,Bhai ya log return nahi kar ra,1,Bhai on hi nahi ho  ra
Poonam Dhakne,Audio not at all good,1,"I purchased this headset last month, and today I can hardly hear from that headset. Not worth at all buying this headset. Very bad experience I'm facing. Please dont buy it."
Abhilasha,Not good headphones,1,At first I thought the headphones were good after playing for 2-3 hours my ears started paining a lot I don’t recommend the headphones these are not comfortable and the sound leaks a lot.
Sahil,It's a duplicate product,1,Damaged packagingDust on headphone after openingThe qr code is in activeVoice quality is very lowDefinitely a duplicate product
Vignesh,Worst purchase,1,Very huge size that doesn’t look goodBad soundBad mic
Anuraag,This headphones and boat sucks,1,Imagin Being such a big-shot company and couldn't even run software or download it. Big thumbs down Don't buy this Cr*p
Altamashpistawala,Second hand product,1,I ordered it twice in a row and still got a second hand product
Alan M Cherian,Stoped working,1,This product stoped working in 7 days.it was working so good and it's sound started fading and stoped working completely
Amit agarwal,Not for gaming atleast,1,Two problem. If mic is not in front of your mouth then nobody can hear you and outside noise is coming a lot. This headphone mic is flexible which is causing it to move down automatically which is bad.
narendra varma,the quality and packing,1,I have got used product with out any any original packing and bills. Its open box and in used oncdition
Anup kumar,Worst product,1,Audio quality is very poor for music and gaming. And the policy of the Amazon doesn't allow to return it also . Worst product
Aarush Singh,It mic was not working very bad product,1,Mic quality was bad boat needs to improve there work on mic
Bikram konai,Noa a comfortable,1,"The media could not be loaded.
                



 Noa a comfortable headphone for gaming, it is really heavy to use, I don't recommend it, it is really painfully after some time of use"
Keshav,Waste of money,1,Sound isn't coming at all ... From my point of view it's a waste of time and money ...
Amazon Customer,Ear pain,1,Ear pain
Shekharmine,Bass Lovers Stay Avay.. Bass Level 0 zero,1,"completely waste of money.1. mike very poor2. Bass.. Zero3. Audio with music, terrible..overall a waste product"
Satish Yadav,Sund karab ha,1,"The media could not be loaded.
                



 Karab ha"
Kandiban,Crappy product don't buy it. Sound got reduced just within days of usage.,1,"Just within 15 days of usage, the sound got reduced. No idea what is the issue. Sent for warranty and it's been more than 45 days. No word from the manufacturer."
harsha seelam,Very bad,1,The product is very bad  fully dissatisfied
Aarmaan,I got box opened,1,"The media could not be loaded.
                



 My product came box open"
Pushpa saini,Bj,1,Bhai yes thek  hai processor eske josh wire hai na AMA kam itne kurly photo or bad mail tut jate hai
Nitin,Returned request failed??????,1,"The demand for refund has not been met yet, what rating will we give for this service"
BORNALI ROY,The right side of the headphones have some defect,1,The right side of the headphones have some defect
Raghav p.,Not comfortable for gaming,1,"These are not comfortable for gaming, just using it for less than one hour your ears will start paining badly."
Rahul Patil,It is too heavy,1,Don't go for it if u want to use it with mobile and it is to heavy I am returning it .
Ajinkya Ballal,The mic stopped working after 7 days,1,The mic does not work making it impossible for the other person to hear me.
kishore,Heavy weight and low volume,1,Heavy weight and low volume....
Kuragayala Kenny Joel,Waste Product,1,Waste Product the Software is not opening it is not extracting and sound is not good no 7.1 Waste of Money Don't buy
Pramod,not computable with mobile use,1,i wanted to use this with my mobile but this is compitable with computer or laptops only
RRH,Average,1,Not comfortable
Sharath gowda,Don't buy from amazon there is no return option,1,"Worst product waste of money, it's very big and also sound very less mic not working properly."
Himanshu Patel,Use less,1,This product is very use less
Amazon Customer,Don't buy.,1,Not at all recommended
vijeesh k.,very bad,1,very bad sound
Pradeep Kumar,No Need usb channel need Mobile headphone,1,No
Placeholder,very good and comply table,5,very good quality product and good quality for gaming and the most important thing is lite waight which is very good
Keshav,It's not working want refund,1,"It's not working,"
virendra suhane,Stopped working after 2 month,1,Stopped working after 2month
Ayush,Worst headphone I tried so far,1,Worst headphone
Sachin,I want to return this headphone,1,I want to return this headphone....
Anitha Karunakaran,Sound quality and mic quality is very bad,1,Mic quality
Soham Ahuja,Mic doesn't stay at it's place,1,Mic goes down and down
Gupta Suraj Krishna,They not delivered only  good product!!!,1,"The media could not be loaded.
                



 Don't buy for phone"
Amazon Customer,Stop working Mike after Use of 30 days,1,Nothing working
AMAN,I don't like it's quality,1,I hate this product
Dipak Prajapati,Sound colity bekar,1,Not best
Nithin Nikki,Waste of money,1,Very bad product
naveen reddy,"Weight is too huge, worst product for ofc use we will get headache if we use this headset for long.",1,Color combination alone
Nav_jyoth,go for immoral 1000d its better than this,1,avg product
Daksh .k!!🤞,Sound quality is very. Cheap,1,Worst sound quality
Vidhi singh,"Voice cut always in this headphones, please help on this.",3,"I am facing issue during my office calls, voice cut always during the calls, please help me on this asap."
surendran kuttappan,Not worth for 1500₹,3,There are many other headphone product in Amazon which has better value for 1500₹. this headphone without a 3.5mm jack is only good for pc and its overpriced. That grill will collect dust and will look ugly in few months totally not worth our money. Waste of RGB on a logo.. this headphone should be priced above 1100₹
Amazon Customer,Good Headset with Mic for beginner Gamer,3,"This is a product with a good build quality. The main problem I found is the weight, even with a net weight of almost 350g which is nearly half of redgear cosmo (nearly more than 600g) this feels heavy after long use of 2-3 hrs. The other problem is the subdued/balanced out bass, it really is evident when listening to music."
Paras,not too good,3,"not too good at this price , price should be 1100,build quality is good, but not heavy bass sounds."
Krishna Singh,Logo is not actual as in picture.,4,"The media could not be loaded.
                



 Nice product, lightweight,and good mic quality.Logo is not actual as shown a grill pattern is there over logo which is not shown in picture."
Madhusudan Giri,Worth the money it costs!,5,"The audio quality is good and mic cancels unwanted noice nicely, probably the best 7.1 headphone for gaming at this price point and also the driver offers many amazing features like live voice changer. Great product!"
Ratna Prakash,❌ Poor Build Quality ❌,1,Don't ever purchase this headphone. Build quality is extremely poor. It's not worth the money. For the price they sell we expect a much better quality product but what we receive is a low quality product which hardly lasts a year
Sana,Cool!!,5,"The media could not be loaded.
                



 It's very smooth in use!🌝It's not as bad as it's being portrayed!!I love the beast level volume and once you're connected, you're absolutely in Nirvana ❤️‍🔥✨"
S.Antony Joseph,Nice Product,4,"Nice and well built product, bought it for official purpose yet still works fine for me. The price is quite expensive."
Amazon Customer.,Good one.,5,"At this price range the headphone is great 👍, 7.1 audio quality was so normal.Still u can afford it."
Pratik,The product is awesome i like it worth to money i considered to everyone to buy this headphones.,5,The product is awesome i like it worth to money i considered to everyone to buy this headphones noice cancelation is so good.
abishek,Good,1,"Wonderful productWonderful qualityIt's worth for money, cable quality is goodIn this range you can go with this"
Abhi,Best for gaming,4,Beast for gamingJoyful for soundGonna buy this coz it's a best price and very good dealI bought it for ₹1500
Gaurang bansal,Best headphone under 1500,5,Best quality headphones good very very good for gaming and the rgb was good Mike was very best soft cusions comfortable for gaming best headphone if have ever used best gaming headphones…
Mrudula Kulthe,Very very good handset,5,This handset is very good. Better than other. The price is also very nice good working. Excellent. Buy it. That's it
Arkendu saha,Just waiting for yhe product,5,Man m waiting for this product and hope its under my budget... I trust boats product a lot... I remember when they just replace my boat earphones after it got damage... And its base.. oo god . Theres no comparison
Mayank Perwani,Made for gaming,5,Amazing product with great build quality. Better specs in competition with red gear cosmo 7.1. In general boat products have great sound quantity. Must buy👍👍
Deep R.,Best product,5,Great product in low priceYou never find any gaming headphone like thatYou guys must go for it.
Rohit,Best in price,5,
Viper X,Not for gaming,1,"No loudness equalisation option, bullets are loud af, footsteps are suppressed. May be all 7.1 headphones have the same issue.Updated: most trash part is the mic, very annoying structure."
Dipanshu Pimplikar,Recieved damaged/used product.,1,"The media could not be loaded.
                



 Recieved box was pretty damaged, tapes all around and main thing is that there were three to four layers of cello tape instead of product seal, opened the box to check whether the product is good or not. Got more disappointed as I saw the product full of dust and inner cardboards damaged."
Krishna Kanth S,Superb quality.,5,Superb quality.
Iras Meitei,Good sound,5,Best Gaming Headphones under 1.4k
Hemant Bajaj,Perfect,5,It is good and perfect in terms of performance!
Srikanth,Awesome,5,Awesome
Ramachandran K V,Awesome product.,5,superb
Allwyin Anthony,Fantastic product,5,Fantastic product
Placeholder,Ultimate.,5,"Loved it! The sound quality of this Boat headphone is great, and mic is also very clear but the sound is just ultimate with ultimate bass."
Monish Goutham,Too big ear cups,4,The Ear cups are too big actually and because of that the noice cancellation is reduced...apart from that its great
Vikram,Boat Head phone,4,Sound is not sooo good quality but ok due to the very big hear pods sound quality is missing and seems to very big size. But overall product is not good at this price.
Rahul,Best budget gaming headphone,4,I am not an expert in technical stuff but i found this headphone quite useful in games. Sound and mic quality is also decent. There is a voice changer option in the boat plug in software which i really liked.1 thing that i don't like in this headphone is mic cable management. It is really hard to adjust the mic in the desired position.
Pradeep,Very good in this price segment,4,Very good in this price segment
Shushrut G.,Great quality headset but comes with a cost,4,"This headphone is great for a price of rs1200. Mic quality is good, speaker quality is great. But as I said this comes with a cost, that is wearing this for a long time is causing hair fall and baldness, which I suppose is a genuine problem with all over-ear and on-ear headphones.Better buy in-ear if you intend to use headphone/earphones for work or long gaming sessions."
Adithya,Don’t get fooled in the Q/A It works with Consoles too,5,
V3NK@T35H,Volume roker on the headphone.,5,I recieved the product on time and at approx. Rs.1300-1400/- . First impressions were excellent. No one told me that there is a volume rocker on the headphone. Knew it after a day. !! One day of low sound !! Ewww.
gururaj,Worth for what you pay.,4,"For the brand name Boat, I bought it.1. Built quality is superb. Feels heavy and good.2. Max sound will completely cut off you from the world.3. For those who had used Sony-like brands, Bass quality feels normal. It doesn't mean it has bad bass. It's good.4. Breathing LED gives it an extra muscle  Overall Worth for what you pay.About packaging, good. But felt like someone tried to see what's inside ( clearly someone tried to get it whatever inside if possible.) These days it's often happening in Amazon packing. Check it before you pay."
D Yathaarth,Sound beast from boat,4,This is absolutely best headphones under 2000/- from BoAt After using this product everyone can hear me clearly and accurately 🔥💯
parvesh saini,Best,5,Surround sound and quality and comfort
Subhasree das,"Best gaming headset under budget. But it doesn't look alike the photo of it , 🥲it has grils",5,"Nothing to dislike full paisa wasul .Samsung a50 mai otg through kheltah hu bgmi gajab sound hai aur is phone mai dolby atoms support karta hai toh aur bhi maja agaya,,"
THE BEAST doc,only review you need !,5,"okay i was damn confused coz it was my first ""gaming "" headphones and i Have YOUtube channel (The Beast doc) so i also needed mic quality for my videos and streaming.now coming to specs50mm drivers you wont find at this prize range.no distortion , sound is just what you can expect from a gaming headphone.I play Valorant i can hear footsteps what my randoms miss, bass is also not bad as said in reviews in fact at max volume bass is upto the mark , its just like it wont damage your ears :)BUILT 9/10MIC 9/10COMFORT 10/10RBG breathing spontaneous.SURROUND/7.1 SOUND IS GOODPS: IF you just checked out my channel do hit sub <3"
Swapnadip Datta,Very good,5,Very good
kavitha,Value for money,5,Good looking .best sound quality
sunil,Excellent catch..,5,Very good product ..must buy..
kanchan rawat,Good headphone,4,Good usb headphones but not compatible on Mac.. rest is good.
